module	dlib	state	tk5_rmid	ce_rmid	bytes_tk5	bytes_ce	bytes_equal	v_tk5	v_ce	sect_tk5	sect_ce	diff_tk5	diff_ce	len_tk5	len_ce
IDCDU01	AOSU0	rmid-differs	UZ67200	UZ90134	16885	16797	N	differs	differs	1	1	0	0	Y	Y
IDCEC01	AOSU0	same	EMS1102	EMS1102	3209	3209	Y	differs	differs	1	1	6	6	N	N
IDCEV01	AOSU0	same	EMS1102	EMS1102	5029	5029	Y	differs	differs	1	1	5	5	N	N
IDCEX01	AOSU0	same	EDM1102	EDM1102	1385	1385	Y	differs	differs	1	1	4	4	N	N
IDCEX02	AOSU0	same	EDM1102	EDM1102	993	993	Y	differs	differs	1	1	1	1	N	N
IDCEX03	AOSU0	same	UZ34231	UZ34231	1097	1097	Y	differs	differs	1	1	0	0	Y	Y
IDCGR01	AOSU0	same	EMS1102	EMS1102	2309	2309	Y	identical	identical	1	1	0	0	N	N
IDCIO01	AOSU0	rmid-differs	UZ76507	UZ53709	12077	12021	N	differs	differs	1	1	291	0	N	Y
IDCIO02	AOSU0	rmid-differs	UZ73075	UZ53784	11989	11897	N	differs	differs	1	1	5	0	N	Y
IDCIO03	AOSU0	same	EDM1102	EDM1102	4789	4789	Y	identical	identical	1	1	0	0	N	N
IDCIO04	AOSU0	same	EDM1102	EDM1102	1653	1653	Y	differs	differs	1	1	103	103	N	N
IDCIO05	AOSU0	same	UZ90120	UZ90120	21233	21233	Y	differs	differs	1	1	0	0	Y	Y
IDCLC01	AOSU0	rmid-differs	UZ75384	UZ57191	17889	17841	N	differs	differs	1	1	0	0	Y	Y
IDCLC02	AOSU0	rmid-differs	UZ66932	UZ28477	19497	19474	N	differs	differs	1	1	0	0	Y	Y
IDCLD01	AOSU0	rmid-differs	UY01975	EMS1102	13250	13137	N	differs	identical	1	1	0	0	Y	N
IDCLM01	AOSU0	same	UZ29552	UZ29552	13558	13558	Y	differs	differs	1	1	0	0	Y	Y
IDCLR01	AOSU0	same	UZ30699	UZ30699	24093	24093	Y	differs	differs	1	1	0	0	Y	Y
IDCLR02	AOSU0	same	EDM1102	EDM1102	1365	1365	Y	differs	differs	1	1	53	53	N	N
IDCLV01	AOSU0	rmid-differs	UY09934	UZ90149	14389	14285	N	differs	differs	1	1	0	0	Y	Y
IDCMC01	AOSU0	same	EMS1102	EMS1102	3725	3725	Y	differs	differs	1	1	0	0	Y	Y
IDCMG01	AOSU0	rmid-differs	UZ40304	EMS1102	4634	4593	N	differs	identical	1	1	0	0	Y	N
IDCMP01	AOSU0	rmid-differs	UZ76156	UZ37989	23725	23497	N	differs	differs	1	1	0	0	Y	Y
IDCMV01	AOSU0	rmid-differs	UY12664	UZ29438	14218	14333	N	differs	differs	1	1	0	0	Y	Y
IDCNC01	AOSU0	same	UZ90134	UZ90134	2841	2841	Y	differs	differs	1	1	0	0	Y	Y
