module	distlib	tk5_rmid	ce_rmid	state
BLSUVSOQ	AOS32	EIP1102	EIP1102	same
BLSUVSPO	AOS32	EIP1102	EIP1102	same
BLSUVSPU	AOS32	EIP1102	EIP1102	same
BLSUZZ2C	AOS32	EIP1102	EIP1102	same
BLSUZZ2D	AOS32	EIP1102	EIP1102	same
BLSUZZ2R	AOS32	EIP1102	EIP1102	same
BLSVASCB	AOS32	EIP1102	EIP1102	same
BLSVASVT	AOS32	EIP1102	EIP1102	same
BLSVASXB	AOS32	EIP1102	EIP1102	same
BLSVCDE	AOS32	EIP1102	EIP1102	same
BLSVCVT	AOS32	EIP1102	EIP1102	same
BLSVCVT2	AOS32	UZ90098	UZ90098	same
BLSVIOC	AOS32	EIP1102	EIP1102	same
BLSVIOX	AOS32	EIP1102	EIP1102	same
BLSVLCCA	AOS32	EIP1102	EIP1102	same
BLSVLCCV	AOS32	EIP1102	EIP1102	same
BLSVLPDE	AOS32	EIP1102	EIP1102	same
BLSVPCCA	AOS32	UZ29043	UZ29043	same
BLSVPCCV	AOS32	EIP1102	EIP1102	same
BLSVPGTE	AOS32	UZ32044	UZ32044	same
BLSVPSA	AOS32	UZ29043	UZ29043	same
BLSVPVT	AOS32	EIP1102	EIP1102	same
BLSVQCBA	AOS32	EIP1102	EIP1102	same
BLSVQCBB	AOS32	EIP1102	EIP1102	same
BLSVQEL	AOS32	EIP1102	EIP1102	same
BLSVRB	AOS32	EIP1102	EIP1102	same
BLSVSGTE	AOS32	UZ32044	UZ32044	same
BLSVTCB	AOS32	EIP1102	EIP1102	same
BLSVUCB	AOS32	EIP1102	EIP1102	same
BLSVXTLS	AOS32	EIP1102	EIP1102	same
BNGC3270	AOS29	UZ26935	UZ26935	same
BNGCDISP	AOS29	UZ25711	UZ25711	same
BNGCLOCL	AOS29	UZ23498	UZ23498	same
BNGCMENU	AOS29	UZ23498	UZ23498	same
BNGCRMOT	AOS29	UZ23498	UZ23498	same
BNGI3270	AOS29	UZ26934	UZ26934	same
BNGIDISP	AOS29	UZ26764	UZ26764	same
BNGIEXIT	AOS29	UZ23495	UZ23495	same
BNGILOCL	AOS29	UZ24563	UZ24563	same
BNGIMENU	AOS29	UZ23495	UZ23495	same
BNGIPCBX	AOS29	EDE1102	EDE1102	same
BNGIREAD	AOS29	UZ23495	UZ23495	same
BNGIRMOT	AOS29	UZ24563	UZ24563	same
BNGISIMS	AOS29	UZ37422	UZ37422	same
BNGLOGR2	AOS29	UZ62117	UZ36925	rmid-differs
BNGT3270	AOS29	UZ25713	UZ25713	same
BNGTDISP	AOS29	UZ26346	UZ26346	same
BNGTLOCL	AOS29	EDE1102	EDE1102	same
BNGTMENU	AOS29	EDE1102	EDE1102	same
BNGTQEMA	AOS29	UZ25713	UZ25713	same
BNGTQEMF	AOS29	UZ23737	UZ23737	same
BNGTRMOT	AOS29	EDE1102	EDE1102	same
ESRTABLE	AOSC5	UZ28069	UZ28069	same
