module	dlib	verdict	sections	diff_bytes	length_differs	diff_in_holes	diff_in_text
HMASMMPV	AOS12	differs	1	327	N	1	326
HMASMMSG	AOS12	differs	1	1098	N	1	1097
HMASMPGC	AOS12	differs	1	299	N	0	299
HMASMPIN	AOS12	differs	1	749	N	19	730
HMASMRCC	AOS12	differs	1	186	N	0	186
HMASMRCD	AOS12	differs	1	561	N	0	561
HMASMRCF	AOS12	differs	1	115	N	0	115
HMASMRCL	AOS12	differs	1	416	N	0	416
HMASMRDS	AOS12	identical	1	0	N	0	0
HMASMREC	AOS12	differs	1	0	Y	0	0
HMASMREJ	AOS12	differs	1	302	N	0	302
HMASMRJD	AOS12	differs	1	402	N	0	402
HMASMSCN	AOS12	differs	1	1280	N	0	1280
HMASMSEC	AOS12	differs	1	197	N	0	197
HMASMSER	AOS12	differs	1	258	N	0	258
HMASMSTA	AOS12	differs	1	216	N	0	216
HMASMSUB	AOS12	differs	1	326	N	0	326
HMASMSUP	AOS12	differs	1	219	N	0	219
HMASMTAD	AOS12	differs	1	110	N	0	110
HMASMTAI	AOS12	differs	1	117	N	0	117
HMASMTBL	AOS12	differs	1	1353	N	0	1353
HMASMTBM	AOS12	identical	1	0	N	0	0
HMASMTCL	AOS12	differs	1	645	N	0	645
HMASMTCR	AOS12	differs	1	608	N	0	608
HMASMTD1	AOS12	differs	1	219	N	0	219
HMASMTDD	AOS12	differs	1	296	N	0	296
HMASMTEC	AOS12	differs	1	294	N	0	294
HMASMTID	AOS12	identical	1	0	N	0	0
HMASMTL1	AOS12	differs	1	172	N	0	172
HMASMTL2	AOS12	differs	1	651	N	0	651
HMASMTL3	AOS12	identical	1	0	N	0	0
HMASMTM1	AOS12	differs	1	417	N	0	417
HMASMTM2	AOS12	differs	1	475	N	0	475
HMASMTM3	AOS12	differs	1	339	N	0	339
HMASMTM4	AOS12	differs	1	339	N	0	339
HMASMTMD	AOS12	identical	1	0	N	0	0
HMASMTMJ	AOS12	differs	1	540	N	0	540
HMASMTMS	AOS12	differs	1	811	N	0	811
HMASMTMW	AOS12	differs	1	0	Y	0	0
HMASMTP2	AOS12	differs	1	496	N	0	496
HMASMTPA	AOS12	differs	1	862	N	2	860
HMASMTPC	AOS12	identical	1	0	N	0	0
HMASMTPD	AOS12	differs	1	394	N	0	394
HMASMTPL	AOS12	differs	1	557	N	0	557
HMASMTPO	AOS12	differs	1	406	N	0	406
HMASMTPR	AOS12	differs	1	638	N	0	638
HMASMTPS	AOS12	differs	1	171	N	0	171
HMASMTR1	AOS12	differs	1	334	N	0	334
HMASMTRM	AOS12	differs	1	974	N	2	972
HMASMTSB	AOS12	differs	1	2	N	0	2
HMASMUC1	AOS12	differs	1	350	N	0	350
HMASMUC2	AOS12	differs	1	856	N	0	856
HMASMUC3	AOS12	differs	1	484	N	0	484
HMASMUC4	AOS12	differs	1	353	N	69	284
HMASMUCD	AOS12	identical	1	0	N	0	0
HMASMULI	AOS12	differs	1	412	N	0	412
