module	kreiss_verdict	ibm_verdict
IGG0CLA7	length	length
IGG0CLA8	length	length
IGG0CLAB	text	text
IGG0CLAC	length	length
IGG0CLAD	length	length
IGG0CLAE	length	length
IGG0CLAF	length	length
IGG0CLAG	length	length
IGG0CLAH	length	length
IGG0CLAI	length	length
IGG0CLAK	length	length
IGG0CLAL	length	length
IGG0CLAM	length	length
IGG0CLAN	length	length
IGG0CLAO	mixed	mixed
IGG0CLAP	length	length
IGG0CLAQ	length	length
IGG0CLAR	length	length
IGG0CLAS	length	length
IGG0CLAT	length	length
IGG0CLAW	length	length
IGG0CLAX	length	length
IGG0CLAZ	length	length
IGG0CLB0	length	length
IGG0CLB1	length	length
IGG0CLB4	mixed	mixed
IGG0CLB5	length	length
IGG0CLB6	length	length
IGG0CLB7	length	length
IGG0CLB8	length	length
IGG0CLB9	length	length
IGG0CLBA	length	length
IGG0CLBB	length	length
IGG0CLBD	length	length
IGG0CLBE	length	length
IGG0CLBG	length	length
IGG0CLBH	length	length
IGG0CLBK	length	length
IGG0CLBL	length	length
IGG0CLBM	length	length
IGG0CLBN	length	length
IGG0CLBO	length	length
IGG0CLBP	length	length
IGG0CLBS	length	length
IGG0CLBT	length	length
IGG0CLBU	length	length
IGG0CLBV	length	length
IGG0CLBW	length	length
IGG0CLBX	text	length
IGG0CLBY	length	length
IGG0CLBZ	length	length
IGG0CLDA	mixed	mixed
IGG0CLDC	length	length
IGG0CLDD	length	length
IGG1PN	text	identical
IGG1QN	text	identical
IGG1QNC	text	identical
IGG1SN	text	identical
IGG2G11	text	identical
IGG2P11	text	identical
IKJCT460	length	length
IKJCT464	length	length
IKJCT466	length	length
IKJCT471	length	length
IKJCT473	length	length
IKJEFD32	mixed	length
IKJEFF00	length	length
IKJEFF15	length	length
IKJEFF20	length	length
IKJEFF56	text	length
IKJEFLGM	length	length
IKJEFLH	length	length
IKJEFLJ	length	length
IKJEFLPA	mixed	mixed
IKJEFT03	length	length
IKJEFT04	length	length
IKJEFT05	length	length
IKJEFT07	text	text
IKJRBBCM	text	identical
IKJRBBCR	length	length
IKJRBBMC	length	length
IKT0009D	length	length
IKT09409	length	length
IKT0940C	text	text
IKT0940E	length	length
IKT09412	length	length
IKT09413	mixed	mixed
IKT3270I	length	length
IKT3270O	length	length
IKTCAS31	length	length
IKTCAS53	length	length
IKTEXIT	length	length
IKTIIOM	length	length
IKTIMIDS	length	length
IKTIMLU2	length	length
IKTLOGFF	length	length
IKTLOGR	length	length
IKTLTERM	length	length
IKTOMIDS	length	length
IKTOMLU2	length	length
IKTQMIN	length	length
IKTTIMRT	length	length
IKTTOMJR	length	length
ILRACT	mixed	mixed
ILRCMP01	text	holes
ILRFMT00	length	length
ILRFMTCV	length	length
ILRFMTPG	length	length
ILRFMTSW	length	length
ILRFRSLT	mixed	holes
ILRIMMSG	text	length
ILRJTERM	text	holes
ILRPAGCM	text	length
ILRPAGIO	length	length
ILRPEX	text	mixed
ILRPOS	length	length
ILRPTM	text	mixed
ILRQSRIT	text	length
ILRRLG	length	length
ILRSAV	length	length
ILRSRB01	text	holes
ILRSRBC	text	mixed
ILRSRT	length	identical
ILRSRT01	text	identical
ILRSWAP	length	length
ILRSWP01	text	holes
ILRSWPDR	text	holes
ILRTERMR	text	length
ILRTMI01	length	length
ILRVIOCM	text	text
IMDUSRFF	mixed	mixed
IOEDKRDR	length	length
IRARMCNS	length	length
IRARMCPM	text	mixed
IRARMERR	length	length
IRARMINT	text	length
IRARMIOM	mixed	length
IRARMSTM	mixed	length
IRARMWLM	text	length
IRBMFDTA	length	length
IRBMFSAR	length	length
IRBMFTRM	length	length
ISDAHEXP	length	length
ISDAOPT0	length	length
ISDAPARM	length	length
ISDASDA0	length	length
ISTAICIR	length	length
ISTAICPT	length	length
ISTAICTN	length	length
ISTAPC22	text	length
ISTAPC23	length	length
ISTAPC25	text	text
ISTAPC31	length	length
ISTAPC32	length	length
ISTAPC35	length	length
ISTAPC36	length	length
ISTAPC37	mixed	mixed
