module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal
IFCEXXXG	8	128	8	Undefined symbol	0000				cards	0x00016	21351	17013	length	as370 alone flags
IFDOLT16	8	1	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x00058	906	906	mixed	as370 alone flags
IFDOLT17	8	3	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x000b2	360	360	mixed	as370 alone flags
IFDOLT18	8	7	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0) | Undefined symbol	0000				bytes				length	as370 alone flags
IFDOLT53	8	11	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes				length	as370 alone flags
IFDOLT57	8	1	8	Undefined symbol	0000				bytes	0x000c4	1110	1110	mixed	as370 alone flags
IFDOLT73	8	7	8	Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0000				bytes	0x00033	1508	1508	mixed	as370 alone flags
IFFAAA02	8	5	8	Undefined symbol	0012				identical				text	both flag
IFFAAA04	8	12	8	Undefined symbol	0012				identical				text	both flag
IFFAFA14	8	3	8	Undefined symbol	0012				identical				mixed	both flag
IFFAFA15	8	22	8	Undefined symbol	0012				identical				length	both flag
IFFAGA01	8	21	8	Undefined symbol	0012				identical				length	both flag
IFFAGA03	8	13	8	Undefined symbol	0012				identical				text	both flag
IFFAGA05	8	12	8	Undefined symbol	0012				identical				text	both flag
IFFAHA06	8	39	8	Undefined symbol	0012				identical				text	both flag
IFFAJA04	8	22	8	Undefined symbol	0012				identical				length	both flag
IFG0194A	8	440	8	Undefined operation code | Undefined symbol	0000				cards				length	as370 alone flags
IFG0194F	8	460	8	Undefined operation code | Undefined symbol	0000				cards				length	as370 alone flags
IFG0195G	8	16	8	Undefined symbol	0000				bytes				length	as370 alone flags
IFG0199B	8	43	8	Undefined symbol	0000				cards				length	as370 alone flags
IFG0202B	8	182	8	Undefined operation code | Undefined symbol	0000				cards				length	as370 alone flags
IFG0202C	8	183	8	Undefined symbol	0000				bytes	0x00002	1416	1416	length	as370 alone flags
IFG0202D	8	145	8	Undefined symbol	0000				bytes	0x00002	1096	1096	mixed	as370 alone flags
IFG0202I	8	189	8	Undefined symbol	0000				bytes				length	as370 alone flags
IFG0232J	8	151	8	Undefined symbol	0000				bytes				mixed	as370 alone flags
IFG0232S	8	104	8	Undefined symbol	0000				bytes	0x0000a	1104	1104	mixed	as370 alone flags
IFG0232Z	8	185	8	Undefined symbol	0000				bytes				length	as370 alone flags
IFG0551B	8	79	8	Undefined symbol	0000				bytes	0x00002	1168	1168	length	as370 alone flags
IFG0551L	8	219	8	Undefined symbol	0000				bytes				length	as370 alone flags
IFG0551R	8	208	8	Undefined symbol	0000				bytes				mixed	as370 alone flags
IFG0552D	8	64	8	Undefined symbol	0000				bytes				length	as370 alone flags
IFG0552N	8	63	8	Undefined symbol	0000				bytes	0x00002	648	648	length	as370 alone flags
IFG0552V	8	99	8	Undefined symbol	0000				bytes				mixed	as370 alone flags
IFG0553F	8	284	8	Undefined operation code | Undefined symbol	0000				cards	0x00016	2824	2784	length	as370 alone flags
IFG0554B	8	141	8	Undefined symbol	0000				bytes	0x00002	1192	1192	mixed	as370 alone flags
IFG0554T	8	156	8	Undefined symbol	0000				bytes	0x00002	1504	1504	length	as370 alone flags
IFG0555J	8	151	8	Undefined symbol	0000				bytes				mixed	as370 alone flags
IFNX1K	8	44	8	Undefined symbol	0000				cards				length	as370 alone flags
IFNX3K	8	26	8	Undefined symbol	0000				cards				length	as370 alone flags
IFNX4V	8	3	8	Undefined symbol	0000				cards				length	as370 alone flags
