module	as370_rc	ifox_rc	tool	tool_restamped	dlib
ISTDCC24	0	0000	identical		holes
ISTDCC25	0	0000	identical		length
ISTDCC30	0	0000	identical		mixed
ISTDCC31	0	0000	identical		identical
ISTDCC32	0	0000	identical		identical
ISTDCC35	0	0000	identical		length
ISTDCC40	0	0000	identical		length
ISTDCC41	0	0000	identical		holes
ISTDCC42	0	0000	identical		identical
ISTDCC50	0	0000	identical		length
ISTDCC51	0	0000	identical		length
ISTDCC60	0	0000	identical		mixed
ISTDCC61	0	0000	identical		length
ISTDCC80	0	0000	identical		length
ISTDCC81	0	0000	identical		length
ISTDCC85	0	0000	identical		identical
ISTDVCBA	0	0000	identical		identical
ISTDVCRC	0	0000	identical		identical
ISTEC000	0	0000	identical		holes
ISTEC123	0	0000	identical		holes
ISTEC456	0	0000	identical		holes
ISTEC789	0	0000	identical		holes
ISTESC01	0	0000	identical		identical
ISTESC02	0	0000	identical		identical
ISTIC000	0	0000	identical		length
ISTIC001	0	0000	identical		holes
ISTIC002	0	0000	identical		length
ISTIC003	0	0000	identical		holes
ISTIC004	0	0000	identical		holes
ISTIC005	0	0000	identical		holes
ISTIC006	0	0000	identical		length
ISTIC007	0	0000	identical		holes
ISTIC008	0	0000	identical		length
ISTIC009	0	0000	identical		holes
ISTIC00A	0	0000	identical		length
ISTINC02	0	0000	identical		holes
ISTINC05	0	0000	identical		length
ISTINC32	0	0000	identical		mixed
ISTINCA0	0	0000	identical		holes
ISTINCAW	0	0000	identical		holes
ISTINCBL	0	0000	identical		text
ISTINCCC	0	0000	identical		identical
ISTINCCF	0	0000	identical		holes
ISTINCCL	8	0000	bytes	bytes	length
ISTINCD0	0	0000	identical		identical
ISTINCD1	0	0000	identical		holes
ISTINCD2	0	0000	identical		length
ISTINCD3	0	0000	identical		identical
ISTINCD4	0	0000	identical		length
ISTINCD5	0	0000	identical		length
ISTINCD6	0	0000	identical		holes
ISTINCD7	0	0000	identical		identical
ISTINCD8	0	0000	identical		identical
ISTINCD9	0	0000	identical		holes
ISTINCDL	0	0000	identical		holes
ISTINCDP	0	0000	identical		length
ISTINCDT	0	0000	cards		text
ISTINCDU	0	0000	identical		holes
ISTINCE0	0	0000	identical		identical
ISTINCE1	0	0000	identical		holes
ISTINCE2	0	0000	identical		holes
ISTINCE3	0	0000	identical		identical
ISTINCE4	0	0000	identical		holes
ISTINCE5	0	0000	identical		holes
ISTINCE6	0	0000	identical		holes
ISTINCE7	0	0000	identical		holes
ISTINCE8	8	0000	bytes	bytes	length
ISTINCE9	0	0000	identical		identical
ISTINCF1	0	0000	identical		identical
ISTINCF3	0	0000	bytes	bytes	text
ISTINCF4	0	0000	identical		holes
ISTINCF9	0	0000	identical		holes
ISTINCFE	0	0000	identical		identical
ISTINCFM	0	0000	identical		holes
ISTINCFS	0	0000	identical		length
ISTINCHT	0	0000	identical		holes
ISTINCIB	0	0000	identical		holes
ISTINCIO	0	0000	bytes	bytes	length
ISTINCIP	0	0000	identical		identical
ISTINCIT	0	0000	identical		holes
ISTINCL0	0	0000	identical		identical
ISTINCL1	0	0000	identical		length
ISTINCL2	0	0000	identical		holes
ISTINCL3	0	0000	identical		length
ISTINCL4	0	0000	identical		holes
ISTINCL5	0	0000	identical		holes
ISTINCL6	0	0000	identical		identical
ISTINCL7	0	0000	identical		holes
ISTINCL8	0	0000	identical		identical
ISTINCLF	8	0000	bytes	bytes	text
ISTINCLM	0	0000	identical		identical
ISTINCMD	0	0000	identical		mixed
ISTINCMR	0	0000	identical		mixed
ISTINCMS	0	0000	identical		length
ISTINCMY	0	0000	identical		length
ISTINCNS	0	0000	identical		length
ISTINCOE	0	0000	identical		holes
ISTINCOI	0	0000	identical		holes
ISTINCOQ	0	0000	identical		length
ISTINCOS	0	0000	identical		identical
ISTINCPD	0	0000	identical		identical
ISTINCPH	0	0000	cards		length
ISTINCQB	0	0000	identical		holes
ISTINCQE	0	0000	identical		length
ISTINCR1	0	0000	identical		holes
ISTINCR2	0	0000	identical		holes
ISTINCR3	0	0000	identical		identical
ISTINCR4	0	0000	identical		length
ISTINCR5	0	0000	identical		holes
ISTINCR6	0	0000	identical		length
ISTINCRD	0	0000	identical		length
ISTINCRF	0	0000	identical		holes
ISTINCRP	0	0000	identical		length
ISTINCRR	0	0000	identical		identical
ISTINCRS	0	0000	identical		holes
ISTINCS1	0	0000	identical		identical
ISTINCSD	0	0000	identical		holes
ISTINCSH	0	0000	identical		holes
ISTINCSM	0	0000	identical		identical
ISTINCST	0	0000	identical		length
ISTINCTE	0	0000	identical		identical
ISTINCTM	0	0000	identical		holes
ISTINCTR	0	0000	identical		length
ISTINCU0	0	0000	identical		holes
ISTINCU1	0	0000	identical		holes
ISTINCU2	0	0000	identical		holes
ISTINCU3	0	0000	identical		holes
ISTINCU4	0	0000	identical		holes
ISTINCU5	0	0000	identical		holes
ISTINCU6	0	0000	identical		text
ISTINCU7	8	0000	cards		length
ISTINCU8	0	0000	identical		identical
ISTINCUA	0	0000	identical		identical
ISTINCUB	0	0000	identical		holes
ISTINCUM	8	0000	bytes	bytes	length
ISTINCUQ	0	0000	identical		holes
ISTINCV2	0	0000	bytes	bytes	text
ISTINCV3	0	0000	identical		holes
ISTINCV4	0	0000	identical		identical
ISTINCV5	0	0000	identical		mixed
ISTINCV6	0	0000	identical		holes
ISTINCV8	0	0000	identical		holes
ISTINCV9	0	0000	identical		identical
ISTINCVA	0	0000	identical		length
ISTINCVI	0	0000	bytes	bytes	length
ISTINCVN	0	0000	identical		holes
ISTINCVO	0	0000	identical		length
ISTINCVP	0	0000	identical		length
ISTINCVS	0	0000	identical		holes
ISTINCVX	0	0000	bytes	bytes	text
ISTINCW0	0	0000	identical		identical
ISTINCW2	0	0000	identical		identical
ISTINCW3	0	0000	identical		identical
ISTINCW4	0	0000	identical		holes
ISTINCW5	0	0000	identical		holes
ISTINCW6	0	0000	identical		holes
ISTINCW7	0	0000	identical		holes
ISTINCW8	0	0000	identical		identical
ISTINCW9	0	0000	bytes	bytes	mixed
ISTINCX0	0	0000	identical		holes
ISTINCX1	0	0000	identical		length
ISTINCX2	0	0000	identical		identical
ISTINCX3	0	0000	identical		holes
ISTINCX6	0	0000	identical		holes
ISTINCX7	0	0000	identical		holes
ISTINCX8	0	0000	identical		length
ISTINCX9	0	0000	identical		holes
ISTINCXM	0	0000	identical		identical
ISTINCXR	0	0000	identical		length
ISTINCY0	0	0000	identical		length
ISTINCY1	0	0000	identical		mixed
ISTINCY3	0	0000	identical		holes
ISTINCY4	0	0000	identical		identical
ISTINCY5	0	0000	identical		length
ISTINFIC	0	0000	identical		length
ISTINFXI	0	0000	identical		length
ISTINM01	0	0000	bytes	bytes	length
ISTINMAD	0	0000	identical		holes
ISTINMAL	0	0000	identical		identical
ISTINMAV	0	0000	identical		identical
ISTINMDD	0	0000	identical		identical
ISTINMN8	0	0000	identical		mixed
ISTNMC1S	0	0000	identical		identical
ISTNMC2S	0	0000	identical		identical
ISTNMC3S	0	0000	identical		length
ISTNMC4P	0	0000	identical		identical
ISTNMC4S	0	0000	identical		identical
ISTNMC5P	0	0000	identical		holes
ISTNMC5S	0	0000	identical		holes
ISTNMC6P	0	0000	identical		identical
ISTNMC6S	0	0000	identical		identical
ISTNMC7P	0	0000	identical		holes
ISTNMC7S	0	0000	identical		length
ISTNMC8P	0	0000	identical		holes
