module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal	owner	excluded
IRARMIPS	8	33	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement) | Undefined symbol	0008	33	8	IFO228 RELOCATABLE DISPLACEMENT IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10 | IFO228 RELOCATABLE DISPLACEMENT IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 16 | IFO228 RELOCATABLE DISPLACEMENT IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 11 | IFO228 RELOCATABLE DISPLACEMENT IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 17 | IFO228 RELOCATABLE DISPLACEMENT IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 15 | IFO188 CCT IS AN UNDEFINED SYMBOL	identical				text	both flag	source	
IRARMRMR	8	10	8	Undefined symbol	0008	10	8	IFO188 IRAFLTM IS AN UNDEFINED SYMBOL | IFO188 IRAEPPR IS AN UNDEFINED SYMBOL | IFO188 IRAOUCB IS AN UNDEFINED SYMBOL | IFO188 IRAWTQE IS AN UNDEFINED SYMBOL | IFO188 IRAOTQE IS AN UNDEFINED SYMBOL | IFO188 IRAINQE IS AN UNDEFINED SYMBOL	identical				holes	both flag	source	
IRARMSRV	8	10	8	Undefined symbol	0008	10	8	IFO188 IRAFLTM IS AN UNDEFINED SYMBOL | IFO188 IRAEPPR IS AN UNDEFINED SYMBOL | IFO188 IRAOUCB IS AN UNDEFINED SYMBOL | IFO188 IRAWTQE IS AN UNDEFINED SYMBOL | IFO188 IRAOTQE IS AN UNDEFINED SYMBOL | IFO188 IRAINQE IS AN UNDEFINED SYMBOL	identical				length	both flag	source	
IRARMSTM	8	11	8	Undefined symbol	0008	11	8	IFO188 MCCSTLCT IS AN UNDEFINED SYMBOL | IFO188 IRAFLTM IS AN UNDEFINED SYMBOL | IFO188 IRAEPPR IS AN UNDEFINED SYMBOL | IFO188 IRAOUCB IS AN UNDEFINED SYMBOL | IFO188 IRAWTQE IS AN UNDEFINED SYMBOL | IFO188 IRAOTQE IS AN UNDEFINED SYMBOL	identical				mixed	both flag	source	
IRARMWLM	8	19	8	Relocatable displacement in machine instruction (explicit base requires an absolute displacement) | Undefined symbol	0008	19	8	IFO228 RELOCATABLE DISPLACEMENT IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 15 | IFO188 WPOXSRV IS AN UNDEFINED SYMBOL | IFO228 RELOCATABLE DISPLACEMENT IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 16 | IFO188 RMEPBSWI IS AN UNDEFINED SYMBOL | IFO188 IRAFLTM IS AN UNDEFINED SYMBOL | IFO188 IRAEPPR IS AN UNDEFINED SYMBOL	identical				text	both flag	source	
ISDAAPR0	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDAAPR1	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDACSB0	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDACSB1	8	1	8	Undefined operation code	0008	1	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDADAT0	8	1	8	Undefined operation code	0008	1	8	IFO078 UNDEFINED OP CODE	identical				holes	both flag	source	
ISDADAT1	8	1	8	Undefined operation code	0008	1	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDADCK0	8	7	8	Undefined operation code	0008	7	8	IFO078 UNDEFINED OP CODE	identical				holes	both flag	source	
ISDADCK1	8	1	8	Undefined operation code	0008	1	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDADCS0	8	1	8	Undefined operation code	0008	1	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDADCS1	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDADHE0	8	8	8	Undefined operation code	0008	8	8	IFO078 UNDEFINED OP CODE	identical				identical	both flag	source	
ISDADHE1	8	1	8	Undefined operation code	0008	1	8	IFO078 UNDEFINED OP CODE	identical				text	both flag	source	
ISDADRC0	8	1	8	Undefined operation code	0008	1	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDADRC1	8	1	8	Undefined operation code	0008	1	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDAEQC0	8	3	8	Undefined operation code	0008	3	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDAEQC1	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				holes	both flag	source	
ISDAFSC0	8	4	8	Undefined operation code	0008	4	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDAFSC1	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDAFSC2	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDAGEN0	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				holes	both flag	source	
ISDAHIST	8	4	8	Undefined operation code	0008	4	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDALOG0	8	4	8	Undefined operation code	0008	4	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDAPAD0	8	10	8	Undefined operation code	0008	10	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDAPRT0	8	5	8	Undefined operation code	0008	5	8	IFO078 UNDEFINED OP CODE	identical				holes	both flag	source	
ISDASUM0	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDASUM1	8	2	8	Undefined operation code	0008	2	8	IFO078 UNDEFINED OP CODE	identical				length	both flag	source	
ISDATYPE	8	3	8	Undefined operation code	0008	3	8	IFO078 UNDEFINED OP CODE	identical				holes	both flag	source	
ISTCFCMM	8	110	8	IFO092 keyword parameter SUPP is not declared in the macro prototype	0008	163	8	IFO092 KEYWORD PARAMETER SUPP UNDEFINED IN MACRO DEFINITION | IFO197 *** MNOTE *** | IFO113 ILLEGAL REFERENCE MADE TO A PARAMETER THAT IS A SUBLIST | IFO108 CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS	identical				text	both flag	source	
ISTNSC00	0	1	0	This card was consumed as a continuation and the statement on it discarded (IFOX00 does not even warn here; the card's columns 1-15 are blank)	0000				identical	0x00000	12669	0	text		source	
BNGTRMOT	0				0000				identical	0x00094	11982	11991	text		source	
BNGTDISP	0				0000				identical	0x011c9	11888	11904	mixed		source	
BNGIDISP	0				0000				identical	0x00117	10319	10329	length		source	
BNGI3270	0				0000				identical	0x000a0	10301	10311	length		source	
BNGT3270	0				0000				identical	0x00037	8337	8350	mixed		source	
IFCSXXXH	0				0000				identical	0x00395	8254	8230	length		source	
IFCEL155	0				0000				identical	0x00253	8110	7128	identical		source	
BNGTLOCL	0				0000				identical	0x00095	6805	6814	text		source	
IFCEA155	0				0000				identical	0x00161	5669	5661	identical		source	
IFCSXXXF	0				0000		0		identical	0x00421	4027	4015	length		source	
IFNX4T	0				0000				identical	0x00045	3582	3578	length		source	
IFNX4M	0				0000				identical	0x00045	3299	3295	length		source	
IFNX4N	0				0000				identical	0x008b1	2332	2332	text		source	
IFNX4D	0				0000				identical	0x00669	1710	1710	text		source	
IFNX5F	0				0000				identical	0x005d4	1630	1630	text		source	
IEESC03D	0				0000				identical	0x0007f	714	720	no-pair		source	
IFNX4S	0				0000				identical	0x00063	429	429	text		source	
AHLCWRIT	0				0000				identical				length		source	
AHLGTFI	0				0000				identical				length		source	
AHLIWRIT	0				0000				identical				length		source	
AHLMCER	4	2	4	IFO026 Continuation card is empty - nothing between the continue column and 71	0004	2	4	IFO026 CHARACTERS APPEAR BETWEEN THE BEGIN AND CONTINUE COLUMNS ON CONTINUATION CARD	identical				length		source	
AHLMCIH	0				0000				identical				identical		source	
AHLREADR	0				0000				identical				mixed		source	
AHLSBLOK	0				0000				identical				text		source	
AHLSBUF	0				0000				identical				length		source	
AHLSCAN	0				0000				identical				holes		source	
